Date,Harvester,Time,Seedling,Water level,N,Total tips,Colonized tips,Root mass (mg),Frozen at time,Notes
20220214,Isobel,10:05,MM022,M,MINUS,NA,NA,0.45,10:10,
20220214,Isobel,10:10,HC074,L,PLUS,34,10,0.5,10:20,"Only realised too late that counter was only sometimes going up, true ""colonized"" count may be higher"
20220214,Isobel,10:20,MM088,H,MINUS,NA,NA,0.86,10:25,
20220214,Isobel,10:25,HC087,H,PLUS,0,0,0.24,10:30,Very small amount of fungus present but no root tips :(
20220214,Isobel,10:30,MM023,L,Plus,NA,NA,0.59,10:35,
20220214,Isobel,10:35,HC018,M,PLUS,45,40,0.48,10:45,
20220214,Isobel,10:45,MM078,H,PLUS,NA,NA,0.38,10:50,
20220214,Isobel,10:50,HC002,H,MINUS,124,123,0.52,11:00,
20220214,Isobel,11:05,MM067,L,PLUS,NA,NA,0.38,11:10,
20220214,Isobel,11:10,HC015,L,PLUS,60,58,0.33,11:20,
20220214,Isobel,11:20,MM019,H,PLUS,NA,NA,0.32,11:22,
20220214,Isobel,11:22,HC001,H,MINUS,13,4,0.19,11:27,
20220214,Isobel,11:27,MM011,M,MINUS,NA,NA,0.67,11:30,"LB (transcribing) not sure if water level is ""M"" or ""H""; clarify with Isobel."
20220214,Isobel,11:30,HC045,H,PLUS,143,120,0.58,11:50,
20220214,Isobel,11:50,HC072,M,PLUS,86,66,0.45,12:02,
20220214,Isobel,12:02,MM042,H,MINUS,NA,NA,0.19,12:07,
20220214,Laura,11:40,HC089,M,MINUS,66,45,0.44,11:57,
20220214,Laura,12:50,HC070,M,PLUS,72,33,0.54,13:03,
20220214,Laura,13:45,HC038,H,MINUS,113,75,0.5,14:00,
20220214,Laura,14:03,MM035,H,PLUS,NA,NA,0.61,14:11,
20220214,Laura,14:13,HC010,H,MINUS,84,56,0.62,14:36,"time frozen is an estimate based on start time of next seedling, was not noted."
20220214,Laura,14:37,HC016,M,PLUS,147,128,0.45,14:58,
20220214,Laura,14:59,MM012,H,MINUS,NA,NA,0.81,15:07,
