harvest_day,seedling,water_potential_m_pa,approximate_measurement_time,notes_WP,date,harvester,time,water_level,n,total_tips,colonized_tips,root_mass_mg,frozen_at_time,notes_COL,colonized,percent_col,minutes_in_cooler,drydown_day,corrected_phi,ID,mass (g)
2,HC092,-1.8,16:24:00,NA,20220206,Oceana,10:56:00,L,Plus,91,60,0.43,11:18,NA,Y,65.93406593406593,328,3,-1.287992,HC092,0.078
2,HC040,-1.8,16:40:00,NA,20220206,Laura,11:30:00,M,Minus,153,115,0.52,11:46,Big root system,Y,75.16339869281046,310,3,-1.31609,HC040,0.086
4,MM094,-1.8,16:14:00,NA,20220214,Isobel,12:45:00,H,Plus,NA,NA,0.26,12:48,NA,N,0,209,10,-1.473751,MM094,0.046
4,HC019,-1.8,16:16:00,NA,20220214,Isobel,12:48:00,H,Plus,104,102,0.64,13:00,NA,Y,98.07692307692307,208,10,-1.475312,HC019,0.141
2,HC030,-1.7,16:34:00,NA,20220206,Oceana,14:41:00,L,Plus,94,79,0.36,14:53,NA,Y,84.04255319148936,113,3,-1.523607,HC030,0.08
2,HC079,-1.7,16:52:00,NA,20220206,Laura,11:20:00,M,Minus,34,23,0.31,11:28,NA,Y,67.64705882352942,332,3,-1.181748,HC079,0.063
2,MM026,-1.7,17:10:00,NA,20220206,Glade,11:26:00,L,Plus,NA,NA,0.62,11:39,NA,N,0,344,3,-1.163016,MM026,0.09
3,HC013,-1.7,16:40:00,NA,20220210,Oceana,14:58:00,H,Plus,25,0,0.14,15:06,"poor condition. 1 spot of hyphae seen, no colonized tips",Y,0,102,7,-1.540778,HC013,0.043
3,HC086,-1.7,16:48:00,NA,20220210,Laura,12:54:00,M,Minus,54,29,0.47,1:05,NA,Y,53.70370370370371,234,7,-1.334726,HC086,0.065
3,HC031,-1.7,16:50:00,NA,20220210,Oceana,14:18:00,M,Minus,44,41,0.33,14:31,NA,Y,93.18181818181817,152,7,-1.462728,HC031,0.074
3,HC036,-1.7,16:54:00,NA,20220210,Laura,13:16:00,M,Plus,125,97,0.55,13:30,NA,Y,77.60000000000001,218,7,-1.359702,HC036,0.1
3,MM073,-1.7,16:56:00,NA,20220210,Laura,14:58:00,H,Minus,NA,NA,0.47,15:05,NA,N,0,118,7,-1.515802,MM073,0.102
4,HC074,-1.7,12:33:00,NA,20220214,Isobel,10:10:00,L,Plus,34,10,0.5,10:20,"Only realised too late that counter was only sometimes going up, true ""colonized"" count may be higher",Y,29.411764705882355,143,10,-1.476777,HC074,0.074
4,HC087,-1.7,12:35:00,NA,20220214,Isobel,10:25:00,H,Plus,0,0,0.24,10:30,Very small amount of fungus present but no root tips :(,Y,NA,130,10,-1.49707,HC087,0.056
